ItemName_TH= {
    ItemName_Base.Amplifier = "วงจรขยายสัญญาณเสียง",
    ItemName_Base.Antibiotics = "ยาปฏิชีวนะ",
    ItemName_Base.Apple = "แอปเปิล",
    ItemName_Base.Apron_Black = "ผ้ากันเปื้อน",
    ItemName_Base.Apron_IceCream = "ผ้ากันเปื้อนร้านไอศกรีม",
    ItemName_Base.Apron_Jay = "ผ้ากันเปื้อนร้านไก่ทอด",
    ItemName_Base.Apron_PileOCrepe = "ผ้ากันเปื้อนร้านเครป",
    ItemName_Base.Apron_PizzaWhirled = "ผ้ากันเปื้อนร้านพิซซ่า",
    ItemName_Base.Apron_Spiffos = "ผ้ากันเปื้อนร้านสปิฟโฟ",
    ItemName_Base.Apron_White = "ผ้ากันเปื้อน",
    ItemName_Base.Apron_WhiteTEXTURE = "ผ้ากันเปื้อนรัดรูป",
    ItemName_Base.AssaultRifle = "ปืนเล็กยาวจู่โจม M16",
    ItemName_Base.AssaultRifle2 = "ปืนเล็กยาวจู่โจม M14",
    ItemName_Base.Avocado = "อะโวคาโด",
    ItemName_Base.Axe = "ขวาน",
    ItemName_Base.AxeStone = "ขวานหิน",
    ItemName_Base.BackgammonBoard = "กระดานแบ็กแกมมอน",
    ItemName_Base.BadmintonRacket = "ไม้แบดมินตัน",
    ItemName_Base.Bag_ALICEpack = "กระเป๋าเป้ขนาดใหญ่",
    ItemName_Base.Bag_ALICEpack_Army = "กระเป๋าเป้ทหาร",
    ItemName_Base.Bag_BigHikingBag = "กระเป๋าเดินป่าขนาดใหญ่",
    ItemName_Base.Bag_BowlingBallBag = "กระเป๋าโบว์ลิ่ง",
    ItemName_Base.Bag_DuffelBag = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_DuffelBagTINT = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_FannyPackBack = "กระเป๋าคาดเอว (หลัง)",
    ItemName_Base.Bag_FannyPackFront = "กระเป๋าคาดเอว (หน้า)",
    ItemName_Base.Bag_FoodCanned = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_FoodSnacks = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_GolfBag = "กระเป๋ากอล์ฟ",
    ItemName_Base.Bag_InmateEscapedBag = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_JanitorToolbox = "กล่องเครื่องมือ",
    ItemName_Base.Bag_MedicalBag = "กระเป๋าปฐมพยาบาล",
    ItemName_Base.Bag_MoneyBag = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_NormalHikingBag = "กระเป๋าเดินป่า",
    ItemName_Base.Bag_Satchel = "กระเป๋าหนังสือ",
    ItemName_Base.Bag_Schoolbag = "กระเป๋านักเรียน",
    ItemName_Base.Bag_ShotgunBag = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_ShotgunDblBag = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_ShotgunDblSawnoffBag = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_ShotgunSawnoffBag = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_SurvivorBag = "กระเป๋าเป้",
    ItemName_Base.Bag_ToolBag = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_WeaponBag = "กระเป๋าดัฟเฟิล",
    ItemName_Base.Bag_WorkerBag = "กระเป๋าดัฟเฟิล",
    ItemName_Base.BagelPlain = "เบเกิล ",
    ItemName_Base.BagelPoppy = "เบเกิล",
    ItemName_Base.BagelSesame = "เบเกิลงา",
    ItemName_Base.Baguette = "บาแก็ต",
    ItemName_Base.BaguetteDough = "บาแก็ต",
    ItemName_Base.BaguetteSandwich = "แซนวิช",
    ItemName_Base.BaitFish = "ปลาเล็ก",
    ItemName_Base.BakingPan = "ถาดอบขนม",
    ItemName_Base.BakingSoda = "เบกกิ้งโซดา",
    ItemName_Base.BakingTray = "ถาดอบขนมแบบเหลี่ยม",
    ItemName_Base.BakingTrayBread = "ถาดอบพร้อมขนมปัง",
    ItemName_Base.BakingTray_Biscuit = "ถาดอบบิสกิต",
    ItemName_Base.BakingTray_Muffin = "ถาดอบมัฟฟิน",
    ItemName_Base.BakingTray_Muffin_Recipe = "ถาดอบมัฟฟิน",
    ItemName_Base.BallPeenHammer = "ค้อนหัวกลม",
    ItemName_Base.Baloney = "ไส้กรอกโบโลญญา",
    ItemName_Base.BaloneySlice = "ไส้กรอกโบโลญญาหั่นบาง",
    ItemName_Base.Banana = "กล้วย",
    ItemName_Base.Bandage = "ผ้าพันแผล",
    ItemName_Base.BandageDirty = "ผ้าพันแผลสกปรก",
    ItemName_Base.Bandaid = "พลาสเตอร์ปิดแผล",
    ItemName_Base.BandedWoolyBearCaterpillar = "หนอนผีเสื้อ",
    ItemName_Base.Banjo = "แบนโจ",
    ItemName_Base.BarBell = "บาร์เบลล์",
    ItemName_Base.BarbedWire = "ลวดหนาม",
    ItemName_Base.BareHands = "มือเปล่า",
    ItemName_Base.Barricade = "แผงกั้น",
    ItemName_Base.Baseball = "ลูกเบสบอล",
    ItemName_Base.BaseballBat = "ไม้เบสบอล",
    ItemName_Base.BaseballBatNails = "ไม้เบสบอลฝังตะปู",
    ItemName_Base.Basil = "โหระพา",
    ItemName_Base.Basketball = "ลูกบาสเกตบอล",
    ItemName_Base.Bass = "ปลาแบส",
    ItemName_Base.BathTowel = "ผ้าเช็ดตัว",
    ItemName_Base.BathTowelWet = "ผ้าเช็ดตัว (เปียก)",
    ItemName_Base.Battery = "แบตเตอรี่",
    ItemName_Base.Bayonnet = "มีดปลายปืน",
    ItemName_Base.BeanBowl = "ถั่วเขียว",
    ItemName_Base.BeautyBerry = "บิวตี้เบอร์รี",
    ItemName_Base.BeefJerky = "เนื้อแดดเดียว",
    ItemName_Base.Beer = "เบียร์ในแก้วทัมเบลอร์",
    ItemName_Base.Beer2 = "เบียร์ในแก้วพลาสติก",
    ItemName_Base.BeerBottle = "เบียร์ขวด",
    ItemName_Base.BeerCan = "เบียร์กระป๋อง",
    ItemName_Base.BeerCanEmpty = "กระป๋องเบียร์เปล่า",
    ItemName_Base.BeerEmpty = "ขวดเปล่า",
    ItemName_Base.BeerWaterFull = "ขวดใส่น้ำ",
    ItemName_Base.Bell = "กระดิ่ง",
    ItemName_Base.BellPepper = "พริกหยวก",
    ItemName_Base.Bellows = "เครื่องเป่าลม",
    ItemName_Base.BellyButton_DangleGold = "ห่วงสะดือตุ้มทอง",
    ItemName_Base.BellyButton_DangleGoldRuby = "ห่วงสะดือตุ้มทองประดับทับทิม",
    ItemName_Base.BellyButton_DangleSilver = "ห่วงสะดือตุ้มเงิน",
    ItemName_Base.BellyButton_DangleSilverDiamond = "ห่วงสะดือตุ้มเงินประดับเพชร",
    ItemName_Base.BellyButton_RingGold = "ห่วงสะดือทอง",
    ItemName_Base.BellyButton_RingGoldDiamond = "ห่วงสะดือทองประดับเพชร",
    ItemName_Base.BellyButton_RingGoldRuby = "ห่วงสะดือทองประดับทับทิม",
    ItemName_Base.BellyButton_RingSilver = "ห่วงสะดือเงิน",
    ItemName_Base.BellyButton_RingSilverAmethyst = "ห่วงสะดือเงินประดับไพลิน",
    ItemName_Base.BellyButton_RingSilverDiamond = "ห่วงสะดือเงินประดับเพชร",
    ItemName_Base.BellyButton_RingSilverRuby = "ห่วงสะดือเงินประดับทับทิม",
    ItemName_Base.BellyButton_StudGold = "ห่วงสะดือหมุดทอง",
    ItemName_Base.BellyButton_StudGoldDiamond = "ห่วงสะดือทองหมุดเพชร",
    ItemName_Base.BellyButton_StudSilver = "ห่วงสะดือหมุดเงิน",
    ItemName_Base.BellyButton_StudSilverDiamond = "ห่วงสะดือเงินหมุดเพชร",
    ItemName_Base.Belt = "เข็มขัด",
    ItemName_Base.Belt2 = "เข็มขัด",
    ItemName_Base.BerryBlack = "แบล็กเบอร์รี",
    ItemName_Base.BerryBlue = "บลูเบอร์รี",
    ItemName_Base.BerryGeneric1 = "เบอร์รี",
    ItemName_Base.BerryGeneric2 = "เบอร์รี",
    ItemName_Base.BerryGeneric3 = "เบอร์รี",
    ItemName_Base.BerryGeneric4 = "เบอร์รี",
    ItemName_Base.BerryGeneric5 = "เบอร์รี",
    ItemName_Base.BerryPoisonIvy = "เบอร์รี",
    ItemName_Base.Beverage = "เครื่องดื่ม",
    ItemName_Base.Beverage2 = "เครื่องดื่ม",
    ItemName_Base.BigCarSeat1 = "เบาะนั่งใหญ่",
    ItemName_Base.BigCarSeat2 = "เบาะนั่งใหญ่",
    ItemName_Base.BigCarSeat3 = "เบาะนั่งใหญ่",
    ItemName_Base.BigGasTank1 = "ถังน้ำมันใหญ่",
    ItemName_Base.BigGasTank2 = "ถังน้ำมันใหญ่",
    ItemName_Base.BigGasTank3 = "ถังน้ำมันใหญ่",
    ItemName_Base.BigTrunk1 = "ท้ายรถใหญ่",
    ItemName_Base.BigTrunk2 = "ท้ายรถใหญ่",
    ItemName_Base.BigTrunk3 = "ท้ายรถใหญ่",
    ItemName_Base.Bikini_Pattern01 = "บิกินี่",
    ItemName_Base.Bikini_TINT = "บิกินี่",
    ItemName_Base.Biscuit = "บิสกิต",
    ItemName_Base.BlackSage = "เสจ",
    ItemName_Base.Blackbeans = "ถั่วดำ",
    ItemName_Base.Bleach = "น้ำยาฟอกขาว",
    ItemName_Base.BleachEmpty = "ขวดเปล่า",
    ItemName_Base.BlowTorch = "หัวเชื่อม",
    ItemName_Base.BluePen = "ปากกาน้ำเงิน",
    ItemName_Base.BobPic = "รูปถ่ายของบ็อบ",
    ItemName_Base.Boilersuit = "ชุดช่าง",
    ItemName_Base.Boilersuit_BlueRed = "ชุดช่าง",
    ItemName_Base.Boilersuit_Flying = "ชุดนักบิน",
    ItemName_Base.Boilersuit_Prisoner = "ชุดนักโทษ",
    ItemName_Base.Boilersuit_PrisonerKhaki = "ชุดนักโทษ",
    ItemName_Base.Boilersuit_Yellow = "ชุดหมี",
    ItemName_Base.BoobTube = "เกาะอก",
    ItemName_Base.BoobTubeSmall = "เกาะอกเล็ก",
    ItemName_Base.Book = "หนังสือ",
    ItemName_Base.BookBlacksmith1 = "งานตีเหล็ก เล่มที่ 1",
    ItemName_Base.BookBlacksmith2 = "งานตีเหล็ก เล่มที่ 2",
    ItemName_Base.BookBlacksmith3 = "งานตีเหล็ก เล่มที่ 3",
    ItemName_Base.BookBlacksmith4 = "งานตีเหล็ก เล่มที่ 4",
    ItemName_Base.BookBlacksmith5 = "งานตีเหล็ก เล่มที่ 5",
    ItemName_Base.BookCarpentry1 = "งานช่างไม้ เล่มที่ 1",
    ItemName_Base.BookCarpentry2 = "งานช่างไม้ เล่มที่ 2",
    ItemName_Base.BookCarpentry3 = "งานช่างไม้ เล่มที่ 3",
    ItemName_Base.BookCarpentry4 = "งานช่างไม้ เล่มที่ 4",
    ItemName_Base.BookCarpentry5 = "งานช่างไม้ เล่มที่ 5",
    ItemName_Base.BookCooking1 = "การทำอาหาร เล่มที่ 1",
    ItemName_Base.BookCooking2 = "การทำอาหาร เล่มที่ 2",
    ItemName_Base.BookCooking3 = "การทำอาหาร เล่มที่ 3",
    ItemName_Base.BookCooking4 = "การทำอาหาร เล่มที่ 4",
    ItemName_Base.BookCooking5 = "การทำอาหาร เล่มที่ 5",
    ItemName_Base.BookElectrician1 = "งานไฟฟ้า เล่มที่ 1",
    ItemName_Base.BookElectrician2 = "งานไฟฟ้า เล่มที่ 2",
    ItemName_Base.BookElectrician3 = "งานไฟฟ้า เล่มที่ 3",
    ItemName_Base.BookElectrician4 = "งานไฟฟ้า เล่มที่ 4",
    ItemName_Base.BookElectrician5 = "งานไฟฟ้า เล่มที่ 5",
    ItemName_Base.BookFarming1 = "การเพาะปลูก เล่มที่ 1",
    ItemName_Base.BookFarming2 = "การเพาะปลูก เล่มที่ 2",
    ItemName_Base.BookFarming3 = "การเพาะปลูก เล่มที่ 3",
    ItemName_Base.BookFarming4 = "การเพาะปลูก เล่มที่ 4",
    ItemName_Base.BookFarming5 = "การเพาะปลูก เล่มที่ 5",
    ItemName_Base.BookFirstAid1 = "การปฐมพยาบาล เล่มที่ 1",
    ItemName_Base.BookFirstAid2 = "การปฐมพยาบาล เล่มที่ 2",
    ItemName_Base.BookFirstAid3 = "การปฐมพยาบาล เล่มที่ 3",
    ItemName_Base.BookFirstAid4 = "การปฐมพยาบาล เล่มที่ 4",
    ItemName_Base.BookFirstAid5 = "การปฐมพยาบาล เล่มที่ 5",
    ItemName_Base.BookFishing1 = "การตกปลา เล่มที่ 1",
    ItemName_Base.BookFishing2 = "การตกปลา เล่มที่ 2",
    ItemName_Base.BookFishing3 = "การตกปลา เล่มที่ 3",
    ItemName_Base.BookFishing4 = "การตกปลา เล่มที่ 4",
    ItemName_Base.BookFishing5 = "การตกปลา เล่มที่ 5",
    ItemName_Base.BookForaging1 = "การหาของ เล่มที่ 1",
    ItemName_Base.BookForaging2 = "การหาของ เล่มที่ 2",
    ItemName_Base.BookForaging3 = "การหาของ เล่มที่ 3",
    ItemName_Base.BookForaging4 = "การหาของ เล่มที่ 4",
    ItemName_Base.BookForaging5 = "การหาของ เล่มที่ 5",
    ItemName_Base.BookMechanic1 = "ช่างยนต์ เล่มที่ 1",
    ItemName_Base.BookMechanic2 = "ช่างยนต์ เล่มที่ 2",
    ItemName_Base.BookMechanic3 = "ช่างยนต์ เล่มที่ 3",
    ItemName_Base.BookMechanic4 = "ช่างยนต์ เล่มที่ 4",
    ItemName_Base.BookMechanic5 = "ช่างยนต์ เล่มที่ 5",
    ItemName_Base.BookMetalWelding1 = "งานโลหะ เล่มที่ 1",
    ItemName_Base.BookMetalWelding2 = "งานโลหะ เล่มที่ 2",
    ItemName_Base.BookMetalWelding3 = "งานโลหะ เล่มที่ 3",
    ItemName_Base.BookMetalWelding4 = "งานโลหะ เล่มที่ 4",
    ItemName_Base.BookMetalWelding5 = "งานโลหะ เล่มที่ 5",
    ItemName_Base.BookTailoring1 = "งานตัดเย็บเสื้อผ้า เล่มที่ 1",
    ItemName_Base.BookTailoring2 = "งานตัดเย็บเสื้อผ้า เล่มที่ 2",
    ItemName_Base.BookTailoring3 = "งานตัดเย็บเสื้อผ้า เล่มที่ 3",
    ItemName_Base.BookTailoring4 = "งานตัดเย็บเสื้อผ้า เล่มที่ 4",
    ItemName_Base.BookTailoring5 = "งานตัดเย็บเสื้อผ้า เล่มที่ 5",
    ItemName_Base.BookTrapping1 = "การวางกับดัก เล่มที่ 1",
    ItemName_Base.BookTrapping2 = "การวางกับดัก เล่มที่ 2",
    ItemName_Base.BookTrapping3 = "การวางกับดัก เล่มที่ 3",
    ItemName_Base.BookTrapping4 = "การวางกับดัก เล่มที่ 4",
    ItemName_Base.BookTrapping5 = "การวางกับดัก เล่มที่ 5",
    ItemName_Base.BorisBadger = "ตุ๊กตาเจ้าแบดเจอร์บอริส",
    ItemName_Base.BouillonCube = "ซุปใสชนิดก้อน",
    ItemName_Base.Bowl = "ชาม",
    ItemName_Base.BoxOfJars = "โหลแก้ว (บรรจุกล่อง)",
    ItemName_Base.Boxers_Hearts = "บ๊อกเซอร์ลายหัวใจ",
    ItemName_Base.Boxers_RedStripes = "บ๊อกเซอร์ลายแดง",
    ItemName_Base.Boxers_Silk_Black = "บ๊อกเซอร์สีดำ",
    ItemName_Base.Boxers_Silk_Red = "บ๊อกเซอร์สีแดง",
    ItemName_Base.Boxers_White = "บ๊อกเซอร์",
    ItemName_Base.Bra_Strapless_AnimalPrint = "บราเกาะอกลายลายเสือ",
    ItemName_Base.Bra_Strapless_Black = "บราเกาะอกสีดำ",
    ItemName_Base.Bra_Strapless_FrillyBlack = "บราเกาะอกลายลูกไม้สีดำ",
    ItemName_Base.Bra_Strapless_FrillyPink = "บราเกาะอกลายลูกไม้สีชมพู",
    ItemName_Base.Bra_Strapless_FrillyRed = "บราเกาะอกลายลูกไม้สีแดง",
    ItemName_Base.Bra_Strapless_RedSpots = "บราเกาะอกจุดแดง",
    ItemName_Base.Bra_Strapless_White = "บราเกาะอก",
    ItemName_Base.Bra_Straps_AnimalPrint = "บราลายเสือ",
    ItemName_Base.Bra_Straps_Black = "บราสีดำ",
    ItemName_Base.Bra_Straps_FrillyBlack = "บราลายลูกไม้สีดำ",
    ItemName_Base.Bra_Straps_FrillyPink = "บราลายลูกไม้สีชมพู",
    ItemName_Base.Bra_Straps_FrillyRed = "บราลายลูกไม้สีแดง",
    ItemName_Base.Bra_Straps_White = "บรา",
    ItemName_Base.Bracelet_BangleLeftGold = "กำไลทอง",
    ItemName_Base.Bracelet_BangleLeftSilver = "กำไลเงิน",
    ItemName_Base.Bracelet_BangleRightGold = "กำไลทอง",
    ItemName_Base.Bracelet_BangleRightSilver = "กำไลเงิน",
    ItemName_Base.Bracelet_ChainLeftGold = "กำไลโซ่ทอง",
    ItemName_Base.Bracelet_ChainLeftSilver = "กำไลโซ่เงิน",
    ItemName_Base.Bracelet_ChainRightGold = "กำไลโซ่ทอง",
    ItemName_Base.Bracelet_ChainRightSilver = "กำไลโซ่เงิน",
    ItemName_Base.Bracelet_LeftFriendshipTINT = "กำไลเชือก",
    ItemName_Base.Bracelet_RightFriendshipTINT = "กำไลเชือก",
    ItemName_Base.Bread = "ขนมปัง",
    ItemName_Base.BreadDough = "ขนมปัง",
    ItemName_Base.BreadKnife = "มีดหั่นขนมปัง",
    ItemName_Base.BreadSlices = "ขนมปังแผ่น",
    ItemName_Base.Bricktoys = "ของเล่นตัวต่อ",
    ItemName_Base.Briefcase = "กระเป๋าเอกสาร",
    ItemName_Base.Briefs_AnimalPrints = "กางเกงในชายลายเสือ",
    ItemName_Base.Briefs_SmallTrunks_Black = "กางเกงว่ายน้ำสีดำ",
    ItemName_Base.Briefs_SmallTrunks_Blue = "กางเกงว่ายน้ำสีน้ำเงิน",
    ItemName_Base.Briefs_SmallTrunks_Red = "กางเกงว่ายน้ำสีแดง",
    ItemName_Base.Briefs_SmallTrunks_WhiteTINT = "กางเกงว่ายน้ำ",
    ItemName_Base.Briefs_White = "กางเกงในชาย",
    ItemName_Base.Broccoli = "บรอกโคลี",
    ItemName_Base.BrokenFishingNet = "ตาข่ายดักปลา (พัง)",
    ItemName_Base.Broom = "ไม้กวาด",
    ItemName_Base.BucketConcreteFull = "ถังปูนคอนกรีต",
    ItemName_Base.BucketEmpty = "ถัง",
    ItemName_Base.BucketPlasterFull = "ถังปูนปลาสเตอร์",
    ItemName_Base.BucketWaterFull = "ถังใส่น้ำ",
    ItemName_Base.Bullets38 = "กระสุนปืน .38",
    ItemName_Base.Bullets38Box = "กระสุนปืน .38 (บรรจุกล่อง)",
    ItemName_Base.Bullets44 = "กระสุนปืน .44",
    ItemName_Base.Bullets44Box = "กระสุนปืน .44 (บรรจุกล่อง)",
    ItemName_Base.Bullets45 = "กระสุนปืน .45",
    ItemName_Base.Bullets45Box = "กระสุนปืน .45 (บรรจุกล่อง)",
    ItemName_Base.Bullets9mm = "กระสุนปืน 9 มม.",
    ItemName_Base.Bullets9mmBox = "กระสุนปืน 9 มม. (บรรจุกล่อง)",
    ItemName_Base.BunnySuitBlack = "ชุดบันนี่",
    ItemName_Base.BunnySuitPink = "ชุดบันนี่",
    ItemName_Base.BunnyTail = "หางบันนี่",
    ItemName_Base.Burger = "เบอร์เกอร์",
    ItemName_Base.BurgerRecipe = "เบอร์เกอร์",
    ItemName_Base.Burrito = "เบอร์ริโต้",
    ItemName_Base.BurritoCraft = "เบอร์ริโต้",
    ItemName_Base.BurritoRecipe = "เบอร์ริโต้",
    ItemName_Base.Butter = "เนย",
    ItemName_Base.ButterKnife = "มีดปาดเนย",
    ItemName_Base.Button = "กระดุม",
    ItemName_Base.CDplayer = "เครื่องเล่นแผ่นซีดี",
    ItemName_Base.CakeBatter = "แป้งเค้ก",
    ItemName_Base.CakeBlackForest = "เค้กแบล็กฟอเรสต์",
    ItemName_Base.CakeCarrot = "เค้กแคร์รอต",
    ItemName_Base.CakeCheeseCake = "ชีสเค้ก",
    ItemName_Base.CakeChocolate = "เค้กช็อกโกแลต",
    ItemName_Base.CakePrep = "เค้กก่อนอบ",
    ItemName_Base.CakeRaw = "เค้ก",
    ItemName_Base.CakeRedVelvet = "เค้กเรดเวลเวต",
    ItemName_Base.CakeSlice = "ชิฟฟอนเค้ก",
    ItemName_Base.CakeStrawberryShortcake = "เค้กสตรอว์เบอร์รี",
    ItemName_Base.Camera = "กล้องถ่ายรูป",
    ItemName_Base.CameraDisposable = "กล้องถ่ายรูปใช้แล้วทิ้ง",
    ItemName_Base.CameraExpensive = "กล้องถ่ายรูประดับสูง",
    ItemName_Base.CameraFilm = "ฟิล์มกล้องถ่ายรูป",
    ItemName_Base.Candle = "เทียน",
    ItemName_Base.CandleLit = "เทียน (มีไฟ)",
    ItemName_Base.CandyCorn = "ลูกอมทรงพีระมิด",
    ItemName_Base.CandyFruitSlices = "ผลไม้อบแห้ง",
    ItemName_Base.CandyPackage = "ลูกกวาด (บรรจุซอง)",
    ItemName_Base.Candycane = "ขนมหวาน",
    ItemName_Base.CannedBellPepper = "พริกหยวกดอง",
    ItemName_Base.CannedBolognese = "สปาเกตตีโบโลเนสกระป๋อง",
    ItemName_Base.CannedBologneseOpen = "สปาเกตตีโบโลเนสกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedBroccoli = "บรอกโคลีดอง",
    ItemName_Base.CannedCabbage = "กะหล่ำปลีดอง",
    ItemName_Base.CannedCarrots = "แคร์รอตดอง",
    ItemName_Base.CannedCarrots2 = "แคร์รอตกระป๋อง",
    ItemName_Base.CannedCarrotsOpen = "แคร์รอตกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedChili = "พริกกระป๋อง",
    ItemName_Base.CannedChiliOpen = "พริกกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedCorn = "ข้าวโพดกระป๋อง",
    ItemName_Base.CannedCornOpen = "ข้าวโพดกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedCornedBeef = "เนื้อบดกระป๋อง",
    ItemName_Base.CannedCornedBeefOpen = "เนื้อบดกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedEggplant = "มะเขือยาวดอง",
    ItemName_Base.CannedFruitBeverage = "เครื่องดื่มรสผลไม้กระป๋อง",
    ItemName_Base.CannedFruitBeverageOpen = "เครื่องดื่มรสผลไม้กระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedFruitCocktail = "ค็อกเทลผลไม้กระป๋อง",
    ItemName_Base.CannedFruitCocktailOpen = "ค็อกเทลผลไม้กระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedLeek = "ต้นหอมดอง",
    ItemName_Base.CannedMilk = "นมข้นจืดกระป๋อง",
    ItemName_Base.CannedMilkOpen = "นมข้นจืดกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedMushroomSoup = "ซุปเห็ดกระป๋อง",
    ItemName_Base.CannedMushroomSoupOpen = "ซุปเห็ดกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedPeaches = "พีชกระป๋อง",
    ItemName_Base.CannedPeachesOpen = "พีชกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedPeas = "ถั่วลันเตากระป๋อง",
    ItemName_Base.CannedPeasOpen = "ถั่วลันเตากระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedPineapple = "สับปะรดกระป๋อง",
    ItemName_Base.CannedPineapplesOpen = "สับปะรดกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedPotato = "มันฝรั่งดอง",
    ItemName_Base.CannedPotato2 = "มันฝรั่งกระป๋อง",
    ItemName_Base.CannedPotatoOpen = "มันฝรั่งกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedRedRadish = "แรดิชดอง",
    ItemName_Base.CannedSardines = "ปลาซาร์ดีนกระป๋อง",
    ItemName_Base.CannedSardinesOpen = "ปลาซาร์ดีนกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CannedTomato = "มะเขือเทศดอง",
    ItemName_Base.CannedTomato2 = "มะเขือเทศกระป๋อง",
    ItemName_Base.CannedTomatoOpen = "มะเขือเทศกระป๋อง (เปิดแล้ว)",
    ItemName_Base.CanoePadel = "ไม้พาย",
    ItemName_Base.CanoePadelX2 = "ไม้พายคู่",
    ItemName_Base.CarBattery1 = "แบตเตอรี่รถ",
    ItemName_Base.CarBattery2 = "แบตเตอรี่รถ",
    ItemName_Base.CarBattery3 = "แบตเตอรี่รถ",
    ItemName_Base.CarBatteryCharger = "เครื่องชาร์จแบตเตอรี่",
    ItemName_Base.CarKey = "กุญแจรถ",
    ItemName_Base.CardDeck = "ไพ่",
    ItemName_Base.Carrots = "แคร์รอต",
    ItemName_Base.CarvingFork = "ส้อมเนื้อ",
    ItemName_Base.CaseyPic = "รูปภาพของเคซีย์ โจ",
    ItemName_Base.CatToy = "หนูของเล่น",
    ItemName_Base.Catfish = "ปลาดุก",
    ItemName_Base.Centipede = "ตะขาบ",
    ItemName_Base.Centipede2 = "ตะขาบ",
    ItemName_Base.Cereal = "ธัญพืชอบกรอบ",
    ItemName_Base.CerealBowl = "ชามธัญพืชผสมนม",
    ItemName_Base.Chainsaw = "เลื่อยยนต์",
